127.0.0.1 - - [01/Nov/2013:22:35:15 +0200] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [01/Nov/2013:22:35:18 +0200] "GET / HTTP/1.1" 200 11457
127.0.0.1 - - [01/Nov/2013:22:38:38 +0200] "GET / HTTP/1.1" 200 11733
127.0.0.1 - - [01/Nov/2013:22:41:54 +0200] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:42:12 +0200] "GET / HTTP/1.1" 200 11762
127.0.0.1 - - [01/Nov/2013:22:42:12 +0200] "GET /img/bg1.jpg HTTP/1.1" 200 5805799
127.0.0.1 - - [01/Nov/2013:22:43:48 +0200] "GET / HTTP/1.1" 200 11839
127.0.0.1 - - [01/Nov/2013:22:44:08 +0200] "GET / HTTP/1.1" 200 11769
127.0.0.1 - - [01/Nov/2013:22:44:08 +0200] "GET /img/style.css HTTP/1.1" 200 6702
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/bg1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/bg/2.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:44:09 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:46:21 +0200] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:46:21 +0200] "GET /img/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/bg1.jpg HTTP/1.1" 200 1062598
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/bg/2.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/bg/3.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/bg/4.jpg HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/menu_red.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/home-content-bottom-new.png HTTP/1.1" 404 236
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/menu.png HTTP/1.1" 404 217
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/menu_bg.png HTTP/1.1" 404 220
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/bg-product.png HTTP/1.1" 404 223
127.0.0.1 - - [01/Nov/2013:22:46:22 +0200] "GET /img/images/bg-story.png HTTP/1.1" 404 221
127.0.0.1 - - [01/Nov/2013:22:47:50 +0200] "GET / HTTP/1.1" 200 11691
127.0.0.1 - - [01/Nov/2013:22:47:50 +0200] "GET /img/style.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Nov/2013:22:47:50 +0200] "GET /img/js/jquery.js HTTP/1.1" 404 214
